,sections,page_path,title,type,description,external_id,image,url,published_at,updated_at,cdp,popularity,info,_index,_type,_score,_version,_explanation,sort,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,Undertone,language,PrimaryColorFamily,Opacity,Interior/Exterior,Color Collection,Family,Shade,Mood,Project,Style,Value,Color Family,Tone,cleaned_name,is_color_description,is_poetry,writing_form,writing_type
164,"['Thayer Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-825/thayer-green,Thayer Green CSP-825 | Benjamin Moore,Color,"In his crisp dress uniform, the new cadet strolled the hallowed hallways, a surge of pride filling his chest.",c1d5f5891a6e7101e9abb020697500d0520c4bb9,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-106-thayer-green-CSP-825-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-825/thayer-green,2024-07-22T04:53:25Z,2024-07-22T04:53:25Z,,1,,5a0f0ee0eaa0b24102d61e98,5a0f0ee0eaa0b24102d61e99,13.797855,,,,"{'title': 'Thayer <em>Green</em> CSP-825 | Benjamin Moore', 'sections': 'Thayer <em>Green</em>', 'color_name': 'Thayer <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-825&#x2F;thayer-<em>green</em>'}",6242e76a28ccbc0eebdda42d,CSP-825,Medium,Warm,949476,Thayer Green,Yellow,,,,,,,,,,,,,,Thayer Green,no,no,prose,story
445,"['Parisian Red®', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1170/parisian-red,Parisian Red CSP-1170 | Benjamin Moore,Color,"Entering the historic hotel, the elegant staircase beckoned them with its grandeur.",b94b3bccab54f208f277816d2c57433408e7eef8,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-003-parisian-red-CSP-1170-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1170/parisian-red,2024-07-22T03:36:15Z,2024-07-03T11:52:55Z,,1,,5a0f0ee0eaa0b24102d61e98,5a0f0ee0eaa0b24102d61e99,17.55727,,,,"{'title': 'Parisian <em>Red</em> CSP-1170 | Benjamin Moore', 'sections': 'Parisian <em>Red</em>®', 'color_name': 'Parisian <em>Red</em>&amp;reg;', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1170&#x2F;parisian-<em>red</em>', 'PrimaryColorFamily': '<em>Red</em>'}",6243164828ccbcfef6ddac97,CSP-1170,Dark,Warm,773935,Parisian Red&reg;,Brown,,Red,,,,,,,,,,,,Parisian Red,no,no,prose,story
1054,"['Fair Isle Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-715/fair-isle-blue,Fair Isle Blue CSP-715 | Benjamin Moore,Color,"Rowing the deep blue, almost green sea, the fisherman speaks quietly to his love that waits on shore.",66e30fed7f9b04b5361da798444f085b792edcab,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-120-fair-isle-blue-CSP-715-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-715/fair-isle-blue,2024-07-21T20:28:12Z,2024-07-21T20:28:12Z,,1,,5a0f0ee0eaa0b24102d61e98,5a0f0ee0eaa0b24102d61e99,13.243397,,,,"{'title': 'Fair Isle <em>Blue</em> CSP-715 | Benjamin Moore', 'sections': 'Fair Isle <em>Blue</em>', 'description': 'Rowing the deep <em>blue</em>, almost green sea, the fisherman speaks quietly to his love that waits on shore.', 'color_name': 'Fair Isle <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-715&#x2F;fair-isle-<em>blue</em>'}",624316a0e7b9d25afd0f4e1b,CSP-715,Dark,Cool,496E73,Fair Isle Blue,,,,,,,,,,,,,,,Fair Isle Blue,yes,yes,poetry,poetry
1057,"['St. John Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-675/st-john-blue,St. John Blue CSP-675 | Benjamin Moore,Color,Foghorns sounded through the morning mist as the great tall ship sailed into the bay.,3136b231ccc5bdb166c5683e0a7e32cac3b6cc12,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-134-st-john-blue-CSP-675-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-675/st-john-blue,2024-07-03T10:08:40Z,2024-07-03T10:08:40Z,,1,,5a0f0ee0eaa0b24102d61e98,5a0f0ee0eaa0b24102d61e99,12.4037285,,,,"{'title': 'St. John <em>Blue</em> CSP-675 | Benjamin Moore', 'sections': 'St. John <em>Blue</em>', 'color_name': 'St. John <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-675&#x2F;st-john-<em>blue</em>'}",62431a15196a6775998946bb,CSP-675,Medium,Cool,82A1A7,St. John Blue,,,,,,,,,,,,,,,St. John Blue,no,no,prose,story
1088,"['Gray Gardens', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-55/gray-gardens,Gray Gardens CSP-55 | Benjamin Moore,Color,"Autumn is upon the old manse. Its romantic, neglected gardens mirror the tone of the old estate with surprising warmth against the chill. ",3dc051df32fa0b086796b871a3ed61d84165c9b4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-233-gray-gardens-CSP-55-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-55/gray-gardens,2024-07-22T00:54:49Z,2024-07-22T00:54:49Z,,1,,5a0f0ee0eaa0b24102d61e98,5a0f0ee0eaa0b24102d61e99,16.758114,,,,"{'title': '<em>Gray</em> Gardens CSP-55 | Benjamin Moore', 'sections': '<em>Gray</em> Gardens', 'color_name': '<em>Gray</em> Gardens', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-55&#x2F;<em>gray</em>-gardens'}",6242ed45e7b9d25ff80f42c3,CSP-55,Dark,Cool,717571,Gray Gardens,,,Neutral,,,,,,,,,,,,Gray Gardens,no,yes,poetry,poetry
1189,"['Elderberry Wine', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-470/elderberry-wine,Elderberry Wine CSP-470 | Benjamin Moore,Color,"Take a deep drink of this rich, intoxicating wine. Let its secret potion lull you into a romantic trance.",8691199e498d73da7aa549fc4a05b54c10172416,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-181-elderberry-wine-CSP-470-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-470/elderberry-wine,2024-07-21T20:32:51Z,2024-07-20T15:36:20Z,,1,,,,,,,,"{'title': '<em>Elderberry</em> <em>Wine</em> CSP-470 | Benjamin Moore', 'sections': '<em>Elderberry</em> <em>Wine</em>', 'description': 'Take a deep drink of this rich, intoxicating <em>wine</em>. Let its secret potion lull you into a romantic trance.', 'color_name': '<em>Elderberry</em> <em>Wine</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-470&#x2F;<em>elderberry</em>-<em>wine</em>'}",62473560e7b9d2636d0f3bff,CSP-470,Dark,Warm,602E4E,Elderberry Wine,,,,,,,,,,,,,,,Elderberry Wine,no,yes,poetry,poetry
1297,"['Raspberry Glacé', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-430/raspberry-glace,Raspberry Glacé CSP-430 | Benjamin Moore,Color,"A delectable confection of ripe raspberries, iced in a delicate layer of glistening sugar.",1886bcd9abc76d157096c1e94536221d21a6502f,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-019-raspberry-glace-CSP-430-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-430/raspberry-glace,2024-07-21T17:56:23Z,2024-07-20T15:16:39Z,,1,,,,,,,,{},62431648e7b9d25afd0f4d4b,CSP-430,Dark,Warm,AB696E,Raspberry Glacé,Yellow,,Red,,,,,,,,,,,,Raspberry Glac,no,yes,poetry,poetry
1300,"['Kept Love Letters', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-425/kept-love-letters,Kept Love Letters CSP-425 | Benjamin Moore,Color,"The faint scent of violets still clung to each folded page. As she opened them, pink petals floated softly to the floor.",ca71ddc17a761ba9eab63bb5eaa480e556970b11,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-019-kept-love-letters-CSP-425-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-425/kept-love-letters,2024-07-30T14:44:55Z,2024-07-03T16:41:18Z,True,1,,,,,,,,"{'title': '<em>Kept</em> <em>Love</em> <em>Letters</em> CSP-425 | Benjamin Moore', 'sections': '<em>Kept</em> <em>Love</em> <em>Letters</em>', 'color_name': '<em>Kept</em> <em>Love</em> <em>Letters</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-425&#x2F;<em>kept</em>-<em>love</em>-<em>letters</em>'}",62430e43e7b9d22ea60f506b,CSP-425,,,D6BBBB,Kept Love Letters,,,,,Interior,Color Stories&reg;,Red,Medium,"['Chaming', 'Soft']","['Bathroom', 'Kitchen', 'Living Room']",Boho,,,,Kept Love Letters,no,yes,poetry,poetry
1324,"['Cinnabar', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1165/cinnabar,Cinnabar CSP-1165 | Benjamin Moore,Color,"Warm cinnamon sticks and cloves simmered away on the stove, reminding him of his childhood home in Bengal.",60d762e7e065916da8214340777974a7997eb007,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-003-cinnabar-CSP-1165-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1165/cinnabar,2024-07-31T02:09:19Z,2024-07-03T15:45:20Z,True,1,,,,,,,,"{'title': '<em>Cinnabar</em> CSP-1165 | Benjamin Moore', 'sections': '<em>Cinnabar</em>', 'color_name': '<em>Cinnabar</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1165&#x2F;<em>cinnabar</em>'}",6243179328ccbc9f81dd9a6b,CSP-1165,,,944544,Cinnabar,,,,,Interior,Color Stories&reg;,Red,Dark,,,,,,,Cinnabar,no,no,prose,story
1333,"['Cherry Burst', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1200/cherry-burst,Cherry Burst CSP-1200 | Benjamin Moore,Color,"Tart and sweet at the same time, like a homemade cherry pie.",37351a59956d26677ef9acfa0ff63b30298a4689,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-009-cherry-burst-CSP-1200-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1200/cherry-burst,2024-07-30T20:41:17Z,2024-07-03T16:48:54Z,True,1,,,,,,,,"{'title': '<em>Cherry</em> <em>Burst</em> CSP-1200 | Benjamin Moore', 'sections': '<em>Cherry</em> <em>Burst</em>', 'description': 'Tart and sweet at the same time, like a homemade <em>cherry</em> pie.', 'color_name': '<em>Cherry</em> <em>Burst</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1200&#x2F;<em>cherry</em>-<em>burst</em>'}",6242e6f3196a679e9d896e2d,CSP-1200,,,9F233D,Cherry Burst,,,,,Interior,Color Stories&reg;,Red,Dark,,,,,,,Cherry Burst,no,no,prose,story
