sections,page_path,title,type,color_number,description,external_id,ColorValue,WarmCool,color_hex,image,url,published_at,updated_at,color_name,Undertone,popularity,info,highlight,id,Family,Shade,Interior/Exterior,cdp,Color Collection,PrimaryColorFamily,language
"['Devonshire Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1489/devonshire-green,Devonshire Green 1489 | Benjamin Moore,Color,1489,An adaptable dark hue that can conjure rain-soaked moss to elegant wrought iron.,9ca169b4eec105a603ab36fbfb597c90e11b058c,Dark,Warm,7B7665,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-198-devonshire-green-1489-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1489/devonshire-green,2024-07-22T03:19:56Z,2024-07-22T03:19:55Z,Devonshire Green,Gray,1,,"{'title': 'Devonshire <em>Green</em> 1489 | Benjamin Moore', 'sections': 'Devonshire <em>Green</em>', 'color_name': 'Devonshire <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1489&#x2F;devonshire-<em>green</em>'}",6242af14196a6786e4896645,,,,,,,
"['Erin Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/608/erin-green,Erin Green 608 | Benjamin Moore,Color,608,An intense emerald with a cool blue cast.,7e0c6bdcbb2dc696f411daea0ced999cda54f69d,,,00917A,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-087-erin-green-608-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/608/erin-green,2024-07-31T02:59:58Z,2024-07-31T02:59:58Z,Erin Green,,1,,"{'title': 'Erin <em>Green</em> 608 | Benjamin Moore', 'sections': 'Erin <em>Green</em>', 'color_name': 'Erin <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;608&#x2F;erin-<em>green</em>', 'Family': '<em>Green</em>'}",62431469e7b9d28b230f4c38,Green,Medium,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,,
"['Gloucester Green', 'Matching Colors', 'Color By Family']",/en-us/paint-colors/color/cw-440/gloucester-green,Gloucester Green CW-440 | Benjamin Moore,Color,CW-440,"Inspired by the simple grandeur of the Duke of Gloucester Street, this sublimely subtle shade is a mix of lamp black, verdigris, yellow ochre and white.",6885fdc54bd8b3cd524d63ef1a53b231408f4b10,Light,Warm,DAD4B2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-107-gloucester-green-CW-440-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cw-440/gloucester-green,2024-06-29T05:04:53Z,2024-06-29T05:04:53Z,Gloucester Green,Yellow,1,,"{'title': 'Gloucester <em>Green</em> CW-440 | Benjamin Moore', 'sections': 'Gloucester <em>Green</em>', 'color_name': 'Gloucester <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cw-440&#x2F;gloucester-<em>green</em>'}",6247358664441f5c04005a9f,,,,,,,
"['Raleigh Green', 'Matching Colors', 'Color By Family']",/en-us/paint-colors/color/cw-525/raleigh-green,Raleigh Green CW-525 | Benjamin Moore,Color,CW-525,"This pronounced, almost playful shade is based on the paint color found by researchers on a late 18th century house near Williamsburg.",07191867094578dae9be340575771ea1547aba71,Dark,Cool,597E5F,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-089-raleigh-green-CW-525-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cw-525/raleigh-green,2024-07-21T00:33:53Z,2024-07-21T00:33:53Z,Raleigh Green,,1,,"{'title': 'Raleigh <em>Green</em> CW-525 | Benjamin Moore', 'sections': 'Raleigh <em>Green</em>', 'color_name': 'Raleigh <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cw-525&#x2F;raleigh-<em>green</em>'}",62473e8764441f163b0045fb,,,,,,,
"['Sea Green', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cw-515/sea-green,Sea Green CW-515 | Benjamin Moore,Color,CW-515,"A mixture of the pigments verdigris and white, this restful, reassuring shade is anchored in the vibrant, dense beauty of the sea.",66deb705be16021593addc71339fbf78120a191a,Medium,Cool,A3B692,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-103-sea-green-CW-515-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cw-515/sea-green,2024-07-20T20:51:31Z,2024-07-20T20:51:31Z,Sea Green,,1,,"{'title': 'Sea <em>Green</em> CW-515 | Benjamin Moore', 'sections': 'Sea <em>Green</em>', 'color_name': 'Sea <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cw-515&#x2F;sea-<em>green</em>'}",6246e6c428ccbcf096ddbecb,,,,,,,
"['Timson Green', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cw-470/timson-green,Timson Green CW-470 | Benjamin Moore,Color,CW-470,Based on early 19th century paint evidence found on the Timson House located just outside the historic area.,9edecf61acbce2727fbad1fcc9871d36a4ca6d8d,Dark,Warm,6E743A,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-080-timson-green-CW-470-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cw-470/timson-green,2024-07-20T23:09:49Z,2024-07-20T23:09:49Z,Timson Green,Yellow,1,,"{'title': 'Timson <em>Green</em> CW-470 | Benjamin Moore', 'sections': 'Timson <em>Green</em>', 'color_name': 'Timson <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cw-470&#x2F;timson-<em>green</em>'}",62473e7a196a678f64895828,,,,,,,
"['Georgian Green', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-115/georgian-green,Georgian Green HC-115 | Benjamin Moore,Color,HC-115,A medium olive tone warmed by muted yellow undertones.,6c76e18aa80b3adc22effaa8f36eba9cea9bf1c4,Medium,Warm,B9B790,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-091-georgian-green-HC-115-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-115/georgian-green,2024-07-22T01:25:38Z,2024-07-22T01:25:38Z,Georgian Green,Yellow,1,,"{'title': 'Georgian <em>Green</em> HC-115 | Benjamin Moore', 'sections': 'Georgian <em>Green</em>', 'color_name': 'Georgian <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-115&#x2F;georgian-<em>green</em>'}",62423e67e7b9d271ee0f55f8,,,,,,,
"['Narragansett Green', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-157/narragansett-green,Narragansett Green HC-157 | Benjamin Moore,Color,HC-157,"A bold, blackened teal that conveys a strong sense of history and architectural relevance.",2eb7f2c7843874b661140b427f0cf868530521a3,Dark,Cool,435155,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-133-narragansett-green-HC-157-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-157/narragansett-green,2024-07-22T01:27:03Z,2024-07-22T01:27:02Z,Narragansett Green,,1,,"{'title': 'Narragansett <em>Green</em> HC-157 | Benjamin Moore', 'sections': 'Narragansett <em>Green</em>', 'color_name': 'Narragansett <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-157&#x2F;narragansett-<em>green</em>'}",6242842864441f8f520038d1,,,,,,,
"['Newburg Green', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-158/newburg-green,Newburg Green HC-158 | Benjamin Moore,Color,HC-158,A captivating shade of teal that brings stylish sophistication to a space.,0a115d2d19d4bc41cd777b32263c798776263e82,Dark,Cool,445962,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-133-newburg-green-HC-158-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-158/newburg-green,2024-07-22T01:29:31Z,2024-07-22T01:29:30Z,Newburg Green,,1,,"{'title': 'Newburg <em>Green</em> HC-158 | Benjamin Moore', 'sections': 'Newburg <em>Green</em>', 'color_name': 'Newburg <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-158&#x2F;newburg-<em>green</em>'}",62428fece7b9d218f30f3dcc,,,,,,,
"['Harrisburg Green', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-132/harrisburg-green,Harrisburg Green HC-132 | Benjamin Moore,Color,HC-132,A lively jade spiked with blue undertones.,66c559f7fee232f68ef64c24bea30db81f548b45,,,8AAB98,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-082-harrisburg-green-HC-132-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-132/harrisburg-green,2024-07-30T18:31:46Z,2024-07-03T17:02:22Z,Harrisburg Green,,1,,"{'title': 'Harrisburg <em>Green</em> HC-132 | Benjamin Moore', 'sections': 'Harrisburg <em>Green</em>', 'color_name': 'Harrisburg <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-132&#x2F;harrisburg-<em>green</em>', 'Family': '<em>Green</em>'}",6242fdb928ccbc66deddb865,Green,Medium,"['Interior', 'Exterior']",true,Historical Colors,,
"['Green Hydrangea', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-850/green-hydrangea,Green Hydrangea CSP-850 | Benjamin Moore,Color,CSP-850,The pastel blossoms from her aunt's garden were a perfect complement to the roses in her bridal bouquet.,3bc06ce827cd56ccaa736711c6c5804ed48229ad,Medium,Warm,CFCB8C,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-076-green-hydrangea-CSP-850-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-850/green-hydrangea,2024-07-21T19:56:00Z,2024-07-21T19:56:00Z,Green Hydrangea,Yellow,1,,"{'title': '<em>Green</em> Hydrangea CSP-850 | Benjamin Moore', 'sections': '<em>Green</em> Hydrangea', 'color_name': '<em>Green</em> Hydrangea', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-850&#x2F;<em>green</em>-hydrangea'}",62431a1528ccbce587dd9ee2,,,,,,,
"['Eve Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2024-20/eve-green,Eve Green 2024-20 | Benjamin Moore,Color,2024-20,A bold olive hue with a lemon twist.,5fb1be54cbd8ed600c6a3d40571589fd372cc184,Medium,Warm,CCBB0E,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-070-eve-green-2024-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2024-20/eve-green,2024-07-21T20:39:41Z,2024-07-21T20:39:41Z,Eve Green,Yellow,1,,"{'title': 'Eve <em>Green</em> 2024-20 | Benjamin Moore', 'sections': 'Eve <em>Green</em>', 'color_name': 'Eve <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2024-20&#x2F;eve-<em>green</em>'}",6242e9e428ccbcc611dda293,,,,,,,
"['Bahama Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2045-40/bahama-green,Bahama Green 2045-40 | Benjamin Moore,Color,2045-40,A bright shade of spearmint that captures the island spirit.,9893295e83f9a276577fa07a08e3e7c47902de93,Medium,Cool,24C5AE,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-092-bahama-green-2045-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2045-40/bahama-green,2024-07-21T20:49:54Z,2024-07-21T20:49:53Z,Bahama Green,,1,,"{'title': 'Bahama <em>Green</em> 2045-40 | Benjamin Moore', 'sections': 'Bahama <em>Green</em>', 'color_name': 'Bahama <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2045-40&#x2F;bahama-<em>green</em>'}",6243026128ccbc5bbdddab68,,,,,,,
"['Amazon Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2136-30/amazon-green,Amazon Green 2136-30 | Benjamin Moore,Color,2136-30,"Gently clouded, this dark hue conjures the lush emerald depths of the Amazon.",42c5791c2c7b3037e39c118f19df91b2266d902d,Dark,Cool,415457,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-112-amazon-green-2136-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2136-30/amazon-green,2024-07-21T23:10:52Z,2024-07-21T23:10:51Z,Amazon Green,Gray,1,,"{'title': 'Amazon <em>Green</em> 2136-30 | Benjamin Moore', 'sections': 'Amazon <em>Green</em>', 'color_name': 'Amazon <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2136-30&#x2F;amazon-<em>green</em>'}",624253b3196a67adad896508,,,,,,,
"['Beau Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2054-20/beau-green,Beau Green 2054-20 | Benjamin Moore,Color,2054-20,A handsome hue that reveals depths of emerald and sapphire.,538d7086e7f052616cf06d33f4e3043534a33de3,Dark,Cool,0A565A,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-108-beau-green-2054-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2054-20/beau-green,2024-07-21T23:28:04Z,2024-07-21T23:28:03Z,Beau Green,,1,,"{'title': 'Beau <em>Green</em> 2054-20 | Benjamin Moore', 'sections': 'Beau <em>Green</em>', 'color_name': 'Beau <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2054-20&#x2F;beau-<em>green</em>'}",6243019c28ccbcce28dd9807,,,,,,,
"['Ferndale Green', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/es-43/ferndale-green,Ferndale Green ES-43 | Benjamin Moore,Color,ES-43,A silvery sage infused with a sophisticated touch of gray. Exclusive to Woodluxe® stain products.,cc9b873f9e8345d8e70e61c049aee759d0a0a4c7,,,ADB5A2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/Woodluxe-CDP-Deck-View-Ferndale-Green-ES-43-RGB.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/es-43/ferndale-green,2024-07-22T00:28:23Z,2024-07-22T00:28:23Z,Ferndale Green,,1,,"{'title': 'Ferndale <em>Green</em> ES-43 | Benjamin Moore', 'sections': 'Ferndale <em>Green</em>', 'color_name': 'Ferndale <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;es-43&#x2F;ferndale-<em>green</em>'}",6621c9e0e7b9d27dfe7fb23d,,,,,,,
