sections,page_path,title,type,color_number,description,external_id,ColorValue,WarmCool,color_hex,image,url,published_at,updated_at,color_name,Undertone,PrimaryColorFamily,popularity,info,highlight,id,Family,Shade,Interior/Exterior,cdp,Color Collection,Mood,Project,Style,Opacity,language
"['Morrel', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-125/morrel,Morrel AF-125 | Benjamin Moore,Color,AF-125,Rosy undertones give this mushroom-inspired neutral an extra-cozy feeling.,934e01b720e30edeaccd4c4f8a4d6968f5d8a318,Medium,Warm,B29678,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-199-morrel-AF-125-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-125/morrel,2024-07-21T21:32:44Z,2024-07-21T21:32:44Z,Morrel,Brown,Neutral,1,,"{'description': 'Rosy undertones give this mushroom-inspired <em>neutral</em> an extra-cozy feeling.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62424fa5196a67b2ad896f15,,,,,,,,,,
"['Baby Fawn', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-15/baby-fawn,Baby Fawn OC-15 | Benjamin Moore,Color,OC-15,"A go-to neutral that can refresh a space, while providing a warm, welcoming feeling.",07687034deac3e16ed49aa41b95b746afd7b2c81,Light,Warm,D9D3C4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-251-baby-fawn-OC-15-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-15/baby-fawn,2024-07-21T21:37:45Z,2024-07-21T21:37:44Z,Baby Fawn,Gray,White,1,,"{'description': 'A go-to <em>neutral</em> that can refresh a space, while providing a warm, welcoming feeling.'}",6242d66528ccbc448cddbc7c,,,,,,,,,,
"['Quicksand', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-200/quicksand,Quicksand CSP-200 | Benjamin Moore,Color,CSP-200,Sink into this mysteriously alluring color - a beautiful neutral for any room. ,abadee65f1299ebd6ef8849707a77bc2b70923dc,Medium,Warm,AEA497,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-196-quicksand-CSP-200-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-200/quicksand,2024-07-21T20:15:23Z,2024-07-21T20:15:23Z,Quicksand,,Neutral,1,,"{'description': 'Sink into this mysteriously alluring color - a beautiful <em>neutral</em> for any room.\xa0', 'PrimaryColorFamily': '<em>Neutral</em>'}",62430ee164441f3b23004a00,,,,,,,,,,
"['Thunder', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-685/thunder,Thunder AF-685 | Benjamin Moore,Color,AF-685,An easy-to-use neutral that offers an ideal mix of warm and cool.,f3c1eb12814a3a51547b7f3390622697cd01286c,Medium,Warm,BDB8AD,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-184-thunder-AF-685-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-685/thunder,2024-07-21T20:16:18Z,2024-07-21T20:16:17Z,Thunder,Gray,Neutral,1,,"{'description': 'An easy-to-use <em>neutral</em> that offers an ideal mix of warm and cool.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242830e28ccbce690dd9758,,,,,,,,,,
"['London Fog', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1541/london-fog,London Fog 1541 | Benjamin Moore,Color,1541,"A neutral with soft gray undertones evocative of foggy, cobblestoned streets.",06b44c6ba84b40304847bdb36f4a13c6c441cad3,Medium,Cool,CCC7BD,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-204-london-fog-1541-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1541/london-fog,2024-07-21T20:16:20Z,2024-07-21T20:16:20Z,London Fog,Gray,Neutral,1,,"{'description': 'A <em>neutral</em> with soft gray undertones evocative of foggy, cobblestoned streets.', 'PrimaryColorFamily': '<em>Neutral</em>'}",624261d6196a67af0e896c46,,,,,,,,,,
"['Great Plains', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cc-334/great-plains,Great Plains CC-334 | Benjamin Moore,Color,CC-334,"Floating between taupe and brown, this neutral presents plenty of design possibilities.",8423a5bfef7d35fac61e6f7ac2405e97d5d4d59f,Medium,Warm,B0987A,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-203-great-plains-CC-334-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-334/great-plains,2024-07-20T23:41:08Z,2024-07-20T23:41:07Z,Great Plains,Brown,Neutral,1,,"{'description': 'Floating between taupe and brown, this <em>neutral</em> presents plenty of design possibilities.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62473f39196a67d1558967bb,,,,,,,,,,
"['Briarwood', 'Matching Colors', 'Color By Family', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/hc-175/briarwood,Briarwood HC-175 | Benjamin Moore,Color,HC-175,An elegant neutral with shades of gray and brown that works in virtually any setting.,f6a33a90927d01b504cf6311b683644c18f59d9b,Medium,Warm,A09889,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-211-briarwood-HC-175-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-175/briarwood,2024-07-21T09:11:32Z,2024-07-21T09:11:32Z,Briarwood,Brown,Neutral,1,,"{'description': 'An elegant <em>neutral</em> with shades of gray and brown that works in virtually any setting.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242e0d864441fa0f30039cb,,,,,,,,,,
"['Stardust', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2108-40/stardust,Stardust 2108-40 | Benjamin Moore,Color,2108-40,"A complex yet highly versatile neutral that reveals depths of gray, green and brown.",ce566eb759c45d029d999a5eefa6bb10f9cd26c0,Medium,Warm,918578,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-200-stardust-2108-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2108-40/stardust,2024-07-21T20:30:18Z,2024-07-21T20:30:17Z,Stardust,Gray,Neutral,1,,"{'description': 'A complex yet highly versatile <em>neutral</em> that reveals depths of gray, green and brown.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62429c54196a671e2b895993,,,,,,,,,,
"['Sail Cloth', 'Matching Colors', 'Color By Family']",/en-us/paint-colors/color/oc-142/sail-cloth,Sail Cloth OC-142 | Benjamin Moore,Color,OC-142,"Warm, gentle beige tones give this neutral an enduring, effortless quality.",7905e4ac049028fea20f2dd27d14592719d9bba1,Light,Warm,E4DECE,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-254-sail-cloth-OC-142-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-142/sail-cloth,2024-07-21T20:25:19Z,2024-07-21T20:25:18Z,Sail Cloth,Beige,White,1,,"{'description': 'Warm, gentle beige tones give this <em>neutral</em> an enduring, effortless quality.'}",6242ceeae7b9d244c80f4bd9,,,,,,,,,,
"['Sea Star', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2123-30/sea-star,Sea Star 2123-30 | Benjamin Moore,Color,2123-30,"Blending green, blue and gray, this easygoing mid-tone has the versatility of a neutral.",984223f92cf492bcabcf46778b1550c99a62b777,Medium,Cool,889E9E,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-113-sea-star-2123-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2123-30/sea-star,2024-07-21T20:30:17Z,2024-07-21T20:30:17Z,Sea Star,Gray,,1,,"{'description': 'Blending green, blue and gray, this easygoing mid-tone has the versatility of a <em>neutral</em>.'}",62429790196a679f0289708b,,,,,,,,,,
