sections,page_path,title,type,color_number,description,external_id,ColorValue,WarmCool,color_hex,image,url,published_at,updated_at,color_name,Undertone,PrimaryColorFamily,popularity,info,highlight,id,Family,Shade,Interior/Exterior,cdp,Color Collection,Mood,Project,Style,Value,Color Family,language
"['Northampton Putty', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-89/northampton-putty,Northampton Putty HC-89 | Benjamin Moore,Color,HC-89,"A rich, warm neutral that is comforting yet sophisticated.",ff5c90bb37b8e8b1496009471d7d1985149f84f1,Medium,Warm,AC9C7C,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-192-northampton-putty-HC-89-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-89/northampton-putty,2024-07-21T23:21:01Z,2024-07-21T23:21:00Z,Northampton Putty,Yellow,Neutral,1,,"{'description': 'A rich, warm <em>neutral</em> that is comforting yet sophisticated.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242f5bc196a6750c0894e98,,,,,,,,,,,
"['Huntington Beige', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-21/huntington-beige,Huntington Beige HC-21 | Benjamin Moore,Color,HC-21,An easy medium neutral that can gently enliven a space.,32342468eb1857aa224503bcec00298b23257b55,Medium,Warm,BAA887,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-195-huntington-beige-HC-21-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-21/huntington-beige,2024-07-21T23:24:55Z,2024-07-21T23:24:55Z,Huntington Beige,Yellow,Neutral,1,,"{'description': 'An easy medium <em>neutral</em> that can gently enliven a space.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242bbac64441fa0620042bd,,,,,,,,,,,
"['Venetian Portico', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-185/venetian-portico,Venetian Portico AF-185 | Benjamin Moore,Color,AF-185,"A lush, earthy neutral that evokes sunbaked clay.",29e18a27667c5ad43894c57e7251181ce5b93400,Medium,Warm,C4A996,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-196-venetian-portico-AF-185-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-185/venetian-portico,2024-07-21T23:58:56Z,2024-07-21T23:58:55Z,Venetian Portico,Peach,Neutral,1,,"{'description': 'A lush, earthy <em>neutral</em> that evokes sunbaked clay.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6241fe3e28ccbc83b2ddaf88,,,,,,,,,,,
"['Serendipity', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-205/serendipity,Serendipity AF-205 | Benjamin Moore,Color,AF-205,Playful hints of peach perk up this medium neutral.,890538e3067d0c553bb0afa1d7a908482e7518cf,Medium,Warm,D9B091,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-034-serendipity-AF-205-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-205/serendipity,2024-07-22T00:54:50Z,2024-07-22T00:54:50Z,Serendipity,,Orange,1,,{'description': 'Playful hints of peach perk up this medium <em>neutral</em>.'},6242f84b64441f01de00495a,,,,,,,,,,,
"['Refined', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-75/refined,Refined AF-75 | Benjamin Moore,Color,AF-75,Greenish-gray tones freshen up this pale neutral.,33e1a67872a7e11b7dd56fec819387e2393163f6,Light,Warm,DEDFCD,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-255-refined-AF-75-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-75/refined,2024-07-22T00:48:05Z,2024-07-22T00:48:04Z,Refined,,Neutral,1,,"{'description': 'Greenish-gray tones freshen up this pale <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62425474e7b9d258110f51dc,,,,,,,,,,,
"['Copley Gray', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-104/copley-gray,Copley Gray HC-104 | Benjamin Moore,Color,HC-104,A versatile grayish neutral with a soft green cast.,fea6d289914be316880965c6ed7391625dc2eef6,Medium,Warm,918A78,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-184-copley-gray-HC-104-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-104/copley-gray,2024-07-21T23:37:25Z,2024-07-21T23:37:24Z,Copley Gray,,Neutral,1,,"{'description': 'A versatile grayish <em>neutral</em> with a soft green cast.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242a0ec196a6763568955e2,,,,,,,,,,,
"['Weimaraner', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-155/weimaraner,Weimaraner AF-155 | Benjamin Moore,Color,AF-155,"A lush, popular neutral with pleasing brown and gray tones.",d9622d25067547962966bc41ede18193c671ddb9,Medium,Warm,9F9282,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-207-weimaraner-AF-155-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-155/weimaraner,2024-07-22T01:04:12Z,2024-07-22T01:04:12Z,Weimaraner,Brown,Neutral,1,,"{'description': 'A lush, popular <em>neutral</em> with pleasing brown and gray tones.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62425c9c196a67af0e895dbf,,,,,,,,,,,
"['Silver Song', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1557/silver-song,Silver Song 1557 | Benjamin Moore,Color,1557,"This cool gray is an ideal neutral, simple and refined.",4889725d45dffeaa0fd6d00d606d018b4d5763b0,Medium,Cool,C2C3B9,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-210-silver-song-1557-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1557/silver-song,2024-07-21T21:10:24Z,2024-07-21T21:10:23Z,Silver Song,Gray,Neutral,1,,"{'description': 'This cool gray is an ideal <em>neutral</em>, simple and refined.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242690c64441f519a0059dc,,,,,,,,,,,
"['Sorrel Brown', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1236/sorrel-brown,Sorrel Brown 1236 | Benjamin Moore,Color,1236,"A dark neutral brown rooted in warm, organic nature.",e25a0a8b83aa8ed3633c19708edeef33096c8f54,Dark,Warm,8E6E5F,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-202-sorrel-brown-1236-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1236/sorrel-brown,2024-07-21T21:16:28Z,2024-07-21T21:16:28Z,Sorrel Brown,Brown,Neutral,1,,"{'description': 'A dark <em>neutral</em> brown rooted in warm, organic nature.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242f11628ccbc66dedd94fa,,,,,,,,,,,
"['Half Moon Crest', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1481/half-moon-crest,Half Moon Crest 1481 | Benjamin Moore,Color,1481,A versatile cool gray with relatively neutral undertones.,4b417f15371e33e2bcff620fcc979db6b6e28a8d,Medium,Cool,BBBEB8,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-212-half-moon-crest-1481-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1481/half-moon-crest,2024-07-21T21:01:45Z,2024-07-21T21:01:44Z,Half Moon Crest,Gray,Neutral,1,,"{'description': 'A versatile cool gray with relatively <em>neutral</em> undertones.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62424c5a196a6729d48969dc,,,,,,,,,,,
"['Broken Arrow', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1026/broken-arrow,Broken Arrow 1026 | Benjamin Moore,Color,1026,A warm mid-tone that floats between neutral and brown.,ee058cebd7912af68288c97656e355b27dd4cb1d,Medium,Warm,B8A18C,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-196-broken-arrow-1026-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1026/broken-arrow,2024-07-21T21:11:20Z,2024-07-21T21:11:20Z,Broken Arrow,Brown,Neutral,1,,"{'description': 'A warm mid-tone that floats between <em>neutral</em> and brown.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62426ea064441f4bd10042f7,,,,,,,,,,,
